close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
28.08,29.5,27.65,28.94,928100.0,1.872,1.9666666667,1.8433333333,1.9293333333,13921500,0.0,1.0
27.71,28.67,27.5,28.21,630100.0,1.8473333333,1.9113333333,1.8333333333,1.8806666667,9451500,0.0,1.0
27.12,27.93,26.85,27.76,1005500.0,1.808,1.862,1.79,1.8506666667,15082500,0.0,1.0
26.91,27.79,26.41,27.2,986300.0,1.794,1.8526666667,1.7606666667,1.8133333333,14794500,0.0,1.0
27.25,27.49,26.12,27.0,897000.0,1.8166666667,1.8326666667,1.7413333333,1.8,13455000,0.0,1.0
27.62,27.76,27.25,27.44,671800.0,1.8413333333,1.8506666667,1.8166666667,1.8293333333,10077000,0.0,1.0
28.23,28.38,27.3,27.62,672300.0,1.882,1.892,1.82,1.8413333333,10084500,0.0,1.0
28.25,28.62,27.805,28.48,729300.0,1.8833333333,1.908,1.8536666667,1.8986666667,10939500,0.0,1.0
22.79,28.5,22.64,28.4,5500400.0,1.5193333333,1.9,1.5093333333,1.8933333333,82506000,0.0,1.0
26.6,27.34,26.41,26.62,4651600.0,1.7733333333,1.8226666667,1.7606666667,1.7746666667,69774000,0.0,1.0
26.81,26.88,26.25,26.69,1260200.0,1.7873333333,1.792,1.75,1.7793333333,18903000,0.0,1.0
26.76,27.74,26.61,27.19,1246300.0,1.784,1.8493333333,1.774,1.8126666667,18694500,0.0,1.0
26.6,27.0,26.4,26.9,662300.0,1.7733333333,1.8,1.76,1.7933333333,9934500,0.0,1.0
26.77,27.21,26.6,26.81,594600.0,1.7846666667,1.814,1.7733333333,1.7873333333,8919000,0.0,1.0
27.42,27.68,26.4399,26.63,858000.0,1.828,1.8453333333,1.76266,1.7753333333,12870000,0.0,1.0
27.97,28.01,27.05,27.27,611200.0,1.8646666667,1.8673333333,1.8033333333,1.818,9168000,0.0,1.0
28.94,29.58,28.0,28.07,1271100.0,1.9293333333,1.972,1.8666666667,1.8713333333,19066500,0.0,1.0
29.33,29.72,28.5,28.5,748400.0,1.9553333333,1.9813333333,1.9,1.9,11226000,0.0,1.0
29.57,29.61,28.529,29.49,729000.0,1.9713333333,1.974,1.9019333333,1.966,10935000,0.0,1.0
29.07,30.0,28.87,29.9,956400.0,1.938,2.0,1.9246666667,1.9933333333,14346000,0.0,1.0
29.58,29.7,29.0,29.07,523200.0,1.972,1.98,1.9333333333,1.938,7848000,0.0,1.0
30.25,30.88,29.605,29.72,805700.0,2.0166666667,2.0586666667,1.9736666667,1.9813333333,12085500,0.0,1.0
31.15,31.33,30.25,30.41,764500.0,2.0766666667,2.0886666667,2.0166666667,2.0273333333,11467500,0.0,1.0
31.8,31.9,31.05,31.1,652100.0,2.12,2.1266666667,2.07,2.0733333333,9781500,0.0,1.0
31.6,31.8,30.82,31.8,1021600.0,2.1066666667,2.12,2.0546666667,2.12,15324000,0.0,1.0
31.93,32.01,31.29,31.6,623700.0,2.1286666667,2.134,2.086,2.1066666667,9355500,0.0,1.0
32.58,32.9,31.43,32.0,1277100.0,2.172,2.1933333333,2.0953333333,2.1333333333,19156500,0.0,1.0
31.1,32.2695,29.84,32.26,1874200.0,2.0733333333,2.1513,1.9893333333,2.1506666667,28113000,0.0,1.0
31.49,32.06,30.9,31.55,1157900.0,2.0993333333,2.1373333333,2.06,2.1033333333,17368500,0.0,1.0
33.17,33.79,31.4,31.74,1810800.0,2.2113333333,2.2526666667,2.0933333333,2.116,27162000,0.0,1.0
33.6,34.41,32.27,33.1,2761800.0,2.24,2.294,2.1513333333,2.2066666667,41427000,0.0,1.0
34.18,34.51,32.54,33.5,2219700.0,2.2786666667,2.3006666667,2.1693333333,2.2333333333,33295500,0.0,1.0
34.97,34.97,33.5,33.99,1376700.0,2.3313333333,2.3313333333,2.2333333333,2.266,20650500,0.0,1.0
34.5,34.87,33.81,34.87,1135800.0,2.3,2.3246666667,2.254,2.3246666667,17037000,0.0,1.0
34.22,34.72,32.5,34.5,1654600.0,2.2813333333,2.3146666667,2.1666666667,2.3,24819000,0.0,1.0
34.53,34.97,33.56,33.86,820400.0,2.302,2.3313333333,2.2373333333,2.2573333333,12306000,0.0,1.0
33.75,34.52,33.27,34.23,959900.0,2.25,2.3013333333,2.218,2.282,14398500,0.0,1.0
33.62,34.0,33.0,33.41,606000.0,2.2413333333,2.2666666667,2.2,2.2273333333,9090000,0.0,1.0
33.81,34.44,33.17,33.64,612200.0,2.254,2.296,2.2113333333,2.2426666667,9183000,0.0,1.0
33.41,34.12,33.14,33.81,535700.0,2.2273333333,2.2746666667,2.2093333333,2.254,8035500,0.0,1.0
34.41,34.5,33.305,33.51,703500.0,2.294,2.3,2.2203333333,2.234,10552500,0.0,1.0
34.04,34.5,33.71,34.4,550000.0,2.2693333333,2.3,2.2473333333,2.2933333333,8250000,0.0,1.0
